,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
146,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Intermediate Level,https://www.coursera.org/learn/gcp-infrastructure-foundation,,,,,,,,
147,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 9 hours to complete,https://www.coursera.org/learn/introduction-to-ai,,,,,,,
148,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 22 hours to complete,https://www.coursera.org/learn/dog-emotion-and-cognition,,,,,,,,
149,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 17 hours to complete,https://www.coursera.org/learn/organizational-behavior,,,,,,,,
150,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 15 hours to complete,https://www.coursera.org/learn/sdgbusiness,,,,,,,
151,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/global-sustainable-development,,,,,,,,
152,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 4 in the,Beginner Level,English,Approx. 14 hours to complete,https://www.coursera.org/learn/bcg-uva-darden-digital-transformation,,,,,,
153,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 5 of 5 in the,Intermediate Level,English,Approx. 38 hours to complete,https://www.coursera.org/learn/nlp-sequence-models,,,,,,
154,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,French,Approx. 28 hours to complete,https://www.coursera.org/learn/entrepreneur-changement,,,,,,,,
155,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 2 of 4 in the,English,Beginner Level,https://www.coursera.org/learn/photography,,,,,,,
156,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 5 in the,English,Approx. 11 hours to complete,https://www.coursera.org/learn/wharton-entrepreneurship-opportunity,,,,,,,
157,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Beginner Level,English,Approx. 14 hours to complete,https://www.coursera.org/learn/search-engine-optimization,,,,,,,
158,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/learn-speak-korean1,,,,,,,,
159,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/circular-economy,,,,,,,,
160,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 2 of 3 in the,English,Beginner Level,https://www.coursera.org/learn/drug-development,,,,,,,
161,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Intermediate Level,English,Approx. 57 hours to complete,https://www.coursera.org/learn/r-programming,,,,,,,
162,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 33 hours to complete,https://www.coursera.org/learn/money-banking,,,,,,,,
