,rating,url
1518,Rating: 2.6 out of 5,https://www.udemy.com/opencv-computer-vision-application-programming/
1519,information alert,https://www.udemy.com/turn-your-animated-greeting-card-carousel-into-a-music-video/
1520,Rating: 4.2 out of 5,https://www.udemy.com/mastering-photoshop-elements-15-made-easy-training-tutorial/
1521,Rating: 4.0 out of 5,https://www.udemy.com/photo-manipulation-in-gimp/
1522,Rating: 4.4 out of 5,https://www.udemy.com/learn-to-draw-pretty-faces-for-comic-books/
1523,Rating: 3.9 out of 5,https://www.udemy.com/businessgraphicdesign/
1524,Rating: 4.4 out of 5,https://www.udemy.com/1hourillustrator/
1525,Rating: 4.2 out of 5,https://www.udemy.com/learn-professional-book-cover-designing-photoshop/
1526,https://www.udemy.com/how-to-make-graphics-for-a-website/,
1527,Rating: 4.7 out of 5,https://www.udemy.com/adobe-illustrator-how-to-draw-squared-animals-icons/
1528,Rating: 4.8 out of 5,https://www.udemy.com/book-cover-design-with-microsoft-powerpoint-2013/
1529,Rating: 3.6 out of 5,https://www.udemy.com/getting-started-with-digital-painting-using-krita/
1530,warning alert,https://www.udemy.com/graphic-design-mastering-logo-design/
1531,Rating: 3.6 out of 5,https://www.udemy.com/logo-design/
1532,warning alert,https://www.udemy.com/fundamentals-of-character-design-from-concept-to-vector/
1533,Rating: 3.7 out of 5,https://www.udemy.com/whiteboardanimation/
1534,warning alert,https://www.udemy.com/caricature/
1535,information alert,https://www.udemy.com/advanced-graphic-design-photoshop-cc-2014-for-photographers/
1536,warning alert,https://www.udemy.com/ebook-layouts/
1537,warning alert,https://www.udemy.com/desktop-publishing-101-learn-editing-in-a-simplified-way/
1538,Rating: 3.3 out of 5,https://www.udemy.com/create-professional-character-designs-in-photoshop/
