name,institution,is_university,level,students,rating,first_review_on
modernizing data lakes and data warehouses with gcp,google cloud,0,intermediate,9100,4.6,2020-01-03
drug discovery,university of california san diego,1,beginner,39000,4.6,2016-10-29
nutrition and lifestyle in pregnancy,ludwig-maximilians-universität münchen (lmu),1,intermediate,35000,4.8,2017-04-15
financial acumen for non-financial managers,university of pennsylvania,1,beginner,10000,4.1,2018-07-17
python and statistics for financial analysis,the hong kong university of science and technology,1,intermediate,41000,4.4,2019-01-08
bugs 101: insect-human interactions,university of alberta,1,beginner,15000,5.0,2019-07-12
autodesk certified professional: revit for architectural design exam prep,autodesk,0,expert,9700,4.8,2020-01-31
"leading for equity, diversity and inclusion in higher education",university of michigan,1,intermediate,5900,4.8,2017-08-18
enterprise architecture,peter the great st. petersburg polytechnic university,1,beginner,2400,4.5,2020-01-10
introduction to spreadsheets and models,university of pennsylvania,1,mixed,76000,3.6,2016-03-12
the arts and science of relationships: understanding human needs,university of toronto,1,beginner,73000,4.4,2017-04-07
essentials in clinical simulations across the health professions,the george washington university,1,intermediate,4100,4.8,2019-07-13
budgeting and scheduling projects,"university of california, irvine",1,mixed,84000,4.8,2015-08-07
machine learning for business professionals,google cloud,0,intermediate,58000,4.6,2019-04-19
introduction to accounting data analytics and visualization,university of illinois at urbana-champaign,1,-,0,4.9,2019-08-28
spanish vocabulary: meeting people,"university of california, davis",1,beginner,71000,4.5,2017-02-19
gestión empresarial exitosa para pymes,pontificia universidad católica de chile,1,-,0,4.9,2015-08-12
public policy challenges of the 21st century,university of virginia,1,beginner,52000,4.6,2015-08-12
international law in action: the arbitration of international disputes,universiteit leiden,0,mixed,19000,4.9,2018-02-08
introduction to ancient egypt and its civilization,university of pennsylvania,1,-,0,4.6,2016-11-01
financing and investing in infrastructure,università bocconi,1,mixed,24000,4.8,2016-07-12
global environmental management,technical university of denmark (dtu),1,intermediate,22000,4.7,2016-10-13
operations analytics,university of pennsylvania,1,mixed,80000,4.7,2015-11-02
entrepreneurship strategy: from ideation to exit,hec paris,1,beginner,20000,1.0,2019-05-01
fintech law and policy,duke university,1,beginner,9700,4.8,2018-08-06
the social context of mental health and illness,university of toronto,1,mixed,19000,4.6,2016-10-01
what is contemporary art?,the museum of modern art,0,beginner,120000,4.8,2019-12-12
the art of music production,berklee college of music,1,intermediate,47000,4.8,2016-06-05
biohacking your brain's health,emory university,1,beginner,35000,4.7,2018-08-19
bayesian statistics: from concept to data analysis,"university of california, santa cruz",1,intermediate,91000,4.4,2016-07-07
reporting extra-financier et stratégie rse,essec business school,1,beginner,5200,4.6,2017-07-01
leading healthcare quality and safety,the george washington university,1,beginner,16000,4.8,2016-07-06
understanding international relations theory,national research university higher school of economics,1,-,0,4.7,2018-03-16
introduction to data analytics,ibm,0,-,0,4.8,2020-09-18
fundamentos de excel para negocios,universidad austral,1,beginner,150000,4.8,2016-09-26
elastic google cloud infrastructure: scaling and automation,google cloud,0,intermediate,57000,4.6,2017-07-14
cultural competence - aboriginal sydney,the university of sydney,1,-,0,4.5,2017-05-10
fundamentos de finanzas empresariales,universidad de los andes,1,beginner,110000,4.9,2015-10-22
greening the economy: sustainable cities,lund university,1,beginner,56000,4.6,2016-01-22
introduction to engineering mechanics,georgia institute of technology,1,mixed,150000,4.8,2015-08-14
design-led strategy: design thinking for business strategy and entrepreneurship,the university of sydney,1,intermediate,19000,4.7,2018-06-12
biology meets programming: bioinformatics for beginners,university of california san diego,1,beginner,88000,4.2,2016-03-29
understanding medical research: your facebook friend is wrong,yale university,1,beginner,24000,4.9,2020-04-29
health behavior change: from evidence to action,yale university,1,-,0,4.9,2020-04-22
ordered data structures,university of illinois at urbana-champaign,1,-,0,4.7,2019-04-07
mindshift: break through obstacles to learning and discover your hidden potential,mcmaster university,1,beginner,230000,4.9,2017-04-13
programming fundamentals,duke university,1,beginner,19000,4.7,2017-11-28
understanding financial markets,university of geneva,1,-,0,4.7,2016-02-13
in the studio: postwar abstract painting,the museum of modern art,0,beginner,79000,4.9,2017-03-23
drug commercialization,university of california san diego,1,beginner,17000,4.6,2017-01-01
introduction to software product management,university of alberta,1,-,0,4.6,2015-10-05
"social norms, social change i",unicef,0,-,0,4.6,2016-06-23
excel skills for business: intermediate ii,macquarie university,1,intermediate,39000,4.7,2017-11-01
