name,students,course_type,institution,is_university,level,subject,hours_per_week,weeks,total_effort,price
html5 and css fundamentals,335895,self-paced on your time,the world wide web consortium (w3c),0,beginner,computer science,5.0,6.0,30.0,199
data science: productivity tools,66683,self-paced on your time,harvard university,1,beginner,data analysis & statistics,1.5,8.0,12.0,49
introduction to corporate finance,98093,self-paced on your time,columbia university,1,beginner,business & management,3.5,4.0,14.0,225
computer science 101,39540,self-paced on your time,stanford university,1,beginner,computer science,5.0,6.0,30.0,149
data science: wrangling,64584,self-paced on your time,harvard university,1,beginner,data analysis & statistics,1.5,8.0,12.0,49
a hands-on introduction to engineering simulations,187138,self-paced on your time,cornell university,1,intermediate,engineering,5.0,6.0,30.0,199
ai for everyone: master the basics,49340,self-paced on your time,ibm,0,beginner,computer science,1.5,4.0,6.0,49
the psychology of criminal justice,110086,self-paced on your time,the university of queensland,1,beginner,humanities,1.5,8.0,12.0,99
machine learning with python: a practical introduction,80161,self-paced on your time,ibm,0,beginner,data analysis & statistics,5.0,5.0,25.0,39
analyzing data with python,94079,self-paced on your time,ibm,0,beginner,data analysis & statistics,3.0,5.0,15.0,39
excel: gestión de datos,111785,self-paced on your time,universitat politècnica de valencia,0,intermediate,computer science,5.0,6.0,30.0,75
probability - the science of uncertainty and data,205615,instructor-led on a course schedule,massachusetts institute of technology,1,expert,data analysis & statistics,12.0,16.0,192.0,300
"fundamentals of neuroscience, part 3: the brain",85034,self-paced on your time,harvard university,1,beginner,biology & life sciences,4.0,8.0,32.0,99
sikhism through its scriptures,44125,self-paced on your time,harvard university,1,beginner,humanities,7.5,4.0,30.0,99
upper-intermediate english: business and modern life,77991,self-paced on your time,universitat politècnica de valencia,0,intermediate,language,4.0,4.0,16.0,50
introduction to probability,97291,self-paced on your time,harvard university,1,intermediate,data analysis & statistics,7.5,10.0,75.0,99
religious literacy: traditions and scriptures,96972,self-paced on your time,harvard university,1,beginner,humanities,7.5,4.0,30.0,99
programación para todos (empezando con python),81004,self-paced on your time,the university of michigan,1,beginner,computer science,3.0,7.0,21.0,49
analyzing and visualizing data with power bi,28879,self-paced on your time,davidson college,1,beginner,data analysis & statistics,15.0,4.0,60.0,99
high-dimensional data analysis,78443,self-paced on your time,harvard university,1,expert,data analysis & statistics,3.0,4.0,12.0,149
introduction to music theory,67029,self-paced on your time,berklee college of music,1,beginner,humanities,4.0,6.0,24.0,49
human anatomy,126850,self-paced on your time,the hong kong polytechnic university,1,beginner,medicine,3.0,8.0,24.0,139
"citiesx: the past, present and future of urban life",76874,self-paced on your time,harvard university,1,beginner,social sciences,6.0,11.0,66.0,99
the path to happiness: what chinese philosophy teaches us about the good life,24208,self-paced on your time,harvard university,1,beginner,philosophy & ethics,1.5,13.0,19.5,99
entrepreneurship 101: who is your customer?,41838,self-paced on your time,massachusetts institute of technology,1,beginner,business & management,3.0,10.0,30.0,49
"u.s. public policy: social, economic, and foreign policies",44045,self-paced on your time,harvard university,1,beginner,social sciences,3.0,4.0,12.0,49
machine learning with python: from linear models to deep learning,85561,instructor-led on a course schedule,massachusetts institute of technology,1,expert,computer science,12.0,15.0,180.0,300
introduction to data science,43766,self-paced on your time,ibm,0,beginner,data analysis & statistics,4.5,6.0,27.0,39
